OverallQual,GrLivArea,GarageCars,avg_price
3,1526,0,85000.0
8,1987,2,301500.0
7,2519,2,335000.0
10,2945,3,438780.0
8,1719,2,324000.0
5,1344,3,98000.0
6,1458,1,97500.0
9,2599,3,333168.0
9,2668,3,412500.0
4,1220,2,102000.0
3,1040,2,91300.0
4,1224,2,101800.0
5,1235,2,98600.0
9,1869,2,318061.0
9,2153,3,313000.0
4,1208,2,103000.0
8,1973,3,395000.0
10,2775,2,325000.0
8,2113,3,350000.0
5,1111,1,98000.0
8,1718,3,297000.0
8,2810,2,302000.0
8,2466,2,340000.0
4,708,0,82500.0
5,882,1,101750.0
9,1856,3,394432.0
6,1369,1,103600.0
5,1301,2,100000.0
4,930,1,84900.0
8,2262,3,305000.0
7,1824,2,302000.0
9,2868,3,556581.0
7,1902,2,335000.0
9,3140,3,485000.0
9,1709,2,328900.0
5,630,0,92000.0
5,1276,1,60000.0
4,1774,3,87000.0
6,784,2,76000.0
3,1077,1,91000.0
5,1522,0,102000.0
6,1218,0,91500.0
8,2132,2,316600.0
8,1800,3,312500.0
7,2696,3,383970.0
8,3279,3,538000.0
9,2596,3,342643.0
6,790,1,91000.0
9,1842,3,385000.0
4,1178,1,102776.0
8,1932,3,394617.0
6,754,0,84500.0
9,2822,3,582933.0
8,2376,3,325300.0
9,2224,3,350000.0
4,1294,0,106250.0
4,1092,1,82166.66666666667
2,438,1,60000.0
9,1922,3,377426.0
5,875,1,105000.0
4,968,1,64500.0
10,4476,3,745000.0
3,864,0,67000.0
5,1387,1,93000.0
6,1258,1,105000.0
4,693,0,52500.0
6,987,1,96628.57142857143
8,1694,2,307000.0
10,3608,3,475000.0
8,2630,3,315000.0
5,974,0,93500.0
5,1020,0,94000.0
5,1184,0,81000.0
5,1456,1,91500.0
5,694,1,90350.0
8,2828,3,424870.0
6,918,1,99500.0
8,2046,3,372500.0
6,2229,0,104000.0
5,616,1,89000.0
4,951,1,106500.0
4,1152,0,82000.0
9,2713,3,446261.0
8,2028,3,369900.0
7,1954,2,311500.0
5,1131,1,66500.0
8,2450,3,340000.0
8,2078,3,339750.0
6,1092,1,88000.0
5,1140,0,84500.0
7,2462,2,320000.0
9,1940,3,395192.0
3,774,0,79000.0
5,1048,2,98300.0
4,788,0,100000.0
7,2398,3,315750.0
9,2184,3,335000.0
5,764,2,73000.0
6,832,2,105500.0
5,2337,2,90000.0
8,1660,2,290000.0
1,904,0,61000.0
4,605,0,86000.0
9,2728,3,437154.0
8,3447,3,381000.0
4,747,1,80000.0
4,882,0,103200.0
7,1801,2,289000.0
8,2392,3,348000.0
8,2727,2,315000.0
8,1419,2,288050.0
8,2531,3,290000.0
9,1944,3,360000.0
5,803,2,87000.0
7,1411,2,82500.0
2,800,0,60000.0
4,1128,2,68400.0
9,2324,3,345000.0
4,841,1,82000.0
8,2000,3,305900.0
5,1440,1,79000.0
9,2234,3,501837.0
8,1593,2,286000.0
10,2020,3,402861.0
7,2418,3,341000.0
5,1044,2,55993.0
8,1976,3,440000.0
8,2704,2,345000.0
4,861,2,82500.0
4,1374,1,105000.0
10,3627,3,625000.0
4,936,2,93000.0
8,2794,3,403000.0
5,1664,0,100000.0
10,2084,3,385000.0
4,520,1,68500.0
10,2332,3,426000.0
9,1746,3,377500.0
10,4316,3,755000.0
6,986,1,102000.0
9,1702,3,367294.0
5,2138,2,106000.0
8,2526,3,290000.0
5,1302,2,106000.0
4,858,0,88000.0
4,1140,0,96500.0
5,1376,1,105000.0
4,912,0,80500.0
3,1306,0,76500.0
9,1828,3,314813.0
4,720,0,34900.0
10,2007,3,310000.0
8,1578,3,287090.0
1,334,0,39300.0
8,2365,3,337000.0
4,747,2,79900.0
3,729,0,52000.0
3,1214,3,105000.0
9,1905,3,320000.0
8,1734,3,318000.0
9,2364,3,611657.0
8,2576,3,361919.0
3,944,2,82000.0
6,720,2,105900.0
10,1718,3,337500.0
7,2730,2,301000.0
4,1738,1,104900.0
4,1092,0,55000.0
5,1022,1,85000.0
5,1077,1,92500.0
9,1838,3,315000.0
3,968,0,37900.0
10,2392,3,386250.0
8,2898,2,287000.0
8,2452,3,309000.0
7,2036,2,375000.0
9,1980,3,315000.0
7,2260,2,328000.0
10,2076,3,465000.0
4,845,1,84000.0
4,1131,2,89471.0
5,691,1,86000.0
5,1015,1,88000.0
3,720,1,72500.0
4,1529,1,98000.0
8,2610,2,303477.0
4,1296,2,90000.0
3,1699,2,95000.0
9,1752,2,319900.0
5,789,1,105750.0
8,1710,3,372402.0
8,2161,3,325624.0
9,2643,3,380000.0
10,2402,3,555000.0
9,2504,3,325000.0
10,2296,3,451950.0
8,2612,3,336000.0
5,835,1,83000.0
8,1826,3,319000.0
6,1406,0,89500.0
5,1112,1,85000.0
8,2715,2,299800.0
4,796,0,55000.0
7,1726,3,311872.0
4,1123,1,100000.0
5,886,1,91300.0
5,968,2,100000.0
8,3228,2,430000.0
8,2448,3,402000.0
8,1630,3,295493.0
9,2018,3,378500.0
8,1704,3,306000.0
9,1620,3,315500.0
5,840,0,87000.0
4,869,0,85500.0
5,1248,1,87000.0
7,3222,3,320000.0
4,1317,1,40000.0
3,864,1,58500.0
8,2270,3,290000.0
9,1652,2,325000.0
7,2520,3,290000.0
9,2121,3,415298.0
7,3493,3,295000.0
5,1192,1,78000.0
5,1221,1,104900.0
10,2633,3,466500.0
8,2520,3,310000.0
9,1698,3,320000.0
6,1096,0,79000.0
4,630,1,83000.0
2,480,1,35311.0
4,630,0,80333.33333333333
8,2097,3,423000.0
8,3194,2,359100.0
4,1344,0,97000.0
9,1850,3,326000.0
5,892,1,105000.0
7,2167,2,294000.0
4,1047,1,100000.0
8,2468,3,354000.0
5,1006,0,80000.0
5,796,0,85000.0
8,1652,2,321750.0
9,1766,3,370878.0
8,2622,2,325000.0
8,2473,3,317000.0
4,924,1,80000.0
4,816,1,100000.0
8,3238,3,410000.0
3,894,3,81000.0
5,1124,0,93000.0
4,988,1,91000.0
5,864,0,98950.0
6,1198,0,79900.0
9,1792,3,374000.0
